,quarter_id,state_id,net_departures
0,8,303,78.0
1,25,303,76.6
2,45,303,65.9
3,59,303,70.3
4,83,303,81.7
5,103,303,66.9
6,117,303,58.7
7,135,303,57.5
8,154,303,71.0
9,178,303,62.4
10,196,303,52.4
11,212,303,62.8
12,230,303,67.3
13,252,303,65.7
14,273,303,58.9
15,287,303,67.8
16,307,303,74.5
17,325,303,72.5
18,344,303,67.6
19,368,303,76.3
20,387,303,77.8
21,402,303,70.7
22,420,303,65.3
23,439,303,90.5
24,463,303,73.9
25,478,303,76.1
26,497,303,72.9
27,515,303,101.6
28,534,303,83.9
29,558,303,83.9
30,572,303,77.1
31,592,303,109.9
32,610,303,94.9
33,629,303,85.6
34,653,303,72.6
35,667,303,105.2
36,686,303,84.3
37,705,303,78.1
38,724,303,72.8
39,743,303,100.1
40,767,303,79.7
41,787,303,73.8
42,801,303,73.5
43,819,303,105.2
44,838,303,80.1
45,862,303,94.3
46,877,303,86.3
47,896,303,111.6
48,914,303,79.0
49,933,303,78.6
50,957,303,70.4
51,972,303,100.4
52,991,303,80.1
53,1009,303,82.3
54,1028,303,73.6
55,1052,303,107.1
56,1067,303,96.0
57,1086,303,77.8
58,1104,303,80.1
59,1123,303,106.7
60,1147,303,84.8
61,1161,303,87.3
62,1181,303,103.7
63,1199,303,93.1
64,1218,303,90.0
65,1242,303,82.1
66,1257,303,103.7
67,1276,303,88.6
68,1294,303,89.4
69,1313,303,80.1
70,1337,303,102.0
71,1351,303,87.2
72,1371,303,89.2
73,1389,303,81.3
74,1408,303,103.1
75,1432,303,91.8
76,1446,303,91.3
77,1465,303,84.6
78,1484,303,110.5
79,1503,303,92.7
80,1522,303,93.1
81,1546,303,85.6
82,1561,303,103.3
83,1580,303,97.3
84,1598,303,97.9
85,1617,303,91.4
86,1641,303,112.9
87,1656,303,96.6
88,1675,303,97.7
89,1693,303,90.0
90,1712,303,108.3
91,1736,303,96.4
92,1751,303,91.8
93,1770,303,81.4
94,1788,303,100.7
95,1807,303,89.8
96,1831,303,87.1
97,1846,303,76.8
98,1865,303,97.5
99,1883,303,85.6
100,1902,303,82.9
101,1926,303,77.3
102,1940,303,99.4
103,1960,303,90.6
104,1978,303,91.9
105,1997,303,82.0
106,2021,303,98.9
107,2036,303,92.3
108,2055,303,88.2
109,2073,303,81.1
110,2092,303,103.0
111,2116,303,88.8
112,2130,303,87.6
113,2150,303,75.8
114,2168,303,91.7
115,2187,303,82.0
116,2211,303,82.4
117,2225,303,75.5
118,2244,303,95.5
119,2263,303,84.4
120,2282,303,83.0
121,2301,303,80.5
122,2325,303,102.9
123,2339,303,89.1
124,2359,303,85.4
125,2377,303,76.8
126,2396,303,88.1
127,2420,303,90.5
128,2435,303,90.1
129,2454,303,78.8
130,2472,303,100.7
131,2491,303,93.3
132,2515,303,84.9
133,2530,303,71.8
134,2549,303,94.0
135,2567,303,87.2
136,2586,303,91.0
137,2610,303,78.1
138,2625,303,99.0
139,2644,303,94.7
140,2662,303,100.1
141,2681,303,79.6
142,2705,303,107.3
143,2719,303,94.0
144,2739,303,95.7
145,2757,303,85.7
146,2776,303,111.5
147,2800,303,98.2
148,2815,303,97.3
149,2834,303,87.2
150,2852,303,116.1
151,2871,303,100.4
152,2895,303,100.3
153,2909,303,86.8
154,2929,303,108.6
155,2947,303,87.8
156,2966,303,85.5
157,2990,303,72.3
158,3004,303,95.3
159,3023,303,94.7
160,3047,303,121.7
161,3067,303,145.6
162,3085,303,121.9
163,3114,303,95.5
